,ROK_model,Region,C-tax-rate,MSP,Downstream-em,Product-LHV,H2-rebate,TAC,T_R102,T_H104,T_H105,P_F101,T_H106,P_H106,P_F102,Qs,Qw
0,M5,Bakken,0.0,0.010389145665931441,8.861,868.193,85948798.194,217051832.35,650.542,308.523,307.752,497872.762,302.345,155642.589,129829.445,93.683,22.528
1,M5,Bakken,0.01,0.010389360658290428,8.861,868.193,85948823.42,217056413.916,650.541,308.522,307.751,497872.793,302.344,155642.511,129829.566,93.683,22.528
2,M5,Bakken,1.0,0.01041132100593435,8.861,868.193,85948730.46,217515313.098,650.542,308.521,307.751,497872.834,302.344,155642.46,129829.646,93.683,22.528
3,M5,Bakken,17.0,0.0107661828956052,8.861,868.194,85947652.895,224931243.179,650.547,308.507,307.74,497873.426,302.333,155632.974,129822.418,93.682,22.528
4,M5,Bakken,45.0,0.011387245488032662,8.861,868.195,85945056.416,237909913.887,650.571,308.497,307.732,497874.985,302.326,155631.537,129824.964,93.681,22.528
5,M5,Bakken,190.0,0.01460313198828602,8.861,868.201,85935227.842,305115024.581,650.659,308.446,307.695,497882.367,302.292,155627.474,129837.54,93.677,22.527
6,M5,Bakken,410.0,0.019481159805221984,8.86,868.211,85915866.911,407076705.614,650.841,308.379,307.634,497896.285,302.237,155629.398,129868.383,93.67,22.525
