Species,Bakken,EF-1,EF-2,EF-3,EF-4,EF-5,EF-6,EF-7,EF-8,EF-9,EF-10,EF-11,EF-12,EF-Basin
hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethylene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
propene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pentene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hexene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heptene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
octene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methane,0.63651,0.477874318,0.477874318,0.681373054,0.681373054,0.681373054,0.78475109,0.777033881,0.781880549,0.794216475,0.798323623,0.79181855,0.960716467,0.74404227
ethane,0.19989,0.234390786,0.234390786,0.156684878,0.156684878,0.156684878,0.131805739,0.135930209,0.128127522,0.128296507,0.128794848,0.136695018,0.019743538,0.135170394
propane,0.113,0.17579309,0.17579309,0.087207504,0.087207504,0.087207504,0.052722295,0.053662,0.052461663,0.043580083,0.039762854,0.036249494,0.006106249,0.068844822
nbutane,0.0282,0.057587391,0.057587391,0.030718483,0.030718483,0.030718483,0.013687519,0.014303104,0.015133172,0.012524183,0.011448431,0.010834346,0.004172603,0.022493068
ibutane,0.0096,0.028591635,0.028591635,0.01814246,0.01814246,0.01814246,0.008719457,0.009535403,0.011299435,0.01048773,0.010221813,0.010226812,0.002951354,0.01366668
pentane,0.0093,0.022024651,0.022024651,0.020410267,0.020410267,0.020410267,0.006590287,0.007506594,0.008676352,0.009164036,0.009608505,0.011340624,0.004274374,0.012770596
hexane,0.0022,0.003536068,0.003536068,0.005360272,0.005360272,0.005360272,0.001419446,0.001724488,0.002017756,0.001221871,0.000817745,0.000810045,0.00122125,0.002257228
heptane,0.0009,0.000202061,0.000202061,0.000103082,0.000103082,0.000103082,0.000304167,0.000304321,0.000403551,0.000509113,0.001022181,0.002025111,0.000814166,0.000754943
octane,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0
