,ROK_model,Region,C-tax-rate,MSP,Downstream-em,Product-LHV,H2-rebate,TAC,T_R102,T_H104,T_H105,P_F101,T_H106,P_H106,P_F102,Qs,Qw
0,M2,Bakken,45.0,0.011365707583568243,8.876,873.819,92414115.394,233371678.703,593.5,299.762,298.984,498038.686,291.648,184483.087,148612.417,93.91,21.52
1,M3,Bakken,45.0,0.011276509271946827,8.901,876.119,97105472.334,228835645.915,598.478,300.115,299.337,498208.675,291.662,187909.833,149458.654,94.232,21.156
2,M4,Bakken,45.0,0.011409239528278102,8.869,867.215,85520736.712,238363563.125,658.039,309.123,308.36,497878.513,303.109,154678.67,129323.906,93.683,22.609
3,M5,Bakken,45.0,0.011388249288079844,8.861,868.195,85945056.416,237930885.946,650.571,308.497,307.732,497874.985,302.326,155631.537,129824.964,93.681,22.528
